title,writer,price
"IT CookBook, 처음 만나는 디지털 논리회로","임석구 , 홍경호","22,000원"
"SWedu, 컴퓨팅 사고력을 키우는 SW 교육 : 파이썬",우재남,"22,000원"
"IT CookBook, 기초 신호 및 시스템",이철희,"26,000원"
생생한 사례로 배우는 확률과 통계,이재원,"25,000원"
공학과 경영,김상균,"26,000원"
"IT CookBook, 운영체제(개정3판)",구현회,"27,000원"
"IT CookBook, 처음 만나는 전자기학",곽동주,"23,000원"
IT 해외 취업 가이드 : 미국편,송기봉,"18,000원"
"IT CookBook, 따라 하면서 배우는 아두이노",허경용,"26,000원"
온라인 유통마케팅,신광수,"40,000원"
스크래치를 활용한 문제해결능력 향상,김종훈,"9,000원"
인적자원관리론(개정판),윤두열,"28,000원"
대학생을 위한 스크래치 프로그래밍 : 누구나 할 수 있는 가장 쉬운 프로그래밍 입문서,김종훈,"18,000원"
최신 공학수학 with Sage Ⅱ,"이상구 , 김영록 , 박준현 , 김응기 , 이재화","23,000원"
"IT CookBook, 최신 이동통신 입문 : Mobile Communications",Jochen H. Schiller,"28,000원"
"IT CookBook, 쉬운 영어로 읽는 최신 전산 영어(개정3판)",조준모,"17,000원"
"IT CookBook, 데이터베이스 기초와 실습 : 액세스 2013",김지연,"25,000원"
"IT CookBook, 컴퓨터 사이언스(개정판) : 새내기를 위한 최신 컴퓨터 개론","이동명 , 권오현 , 고정국","24,000원"
"IT CookBook, 핵심이 보이는 반도체 공학",권기영,"28,000원"
"IT CookBook, 시스템 분석과 설계(개정판) : 효과적인 비즈니스 정보시스템 개발",허원실,"25,000원"
"IT CookBook, JUST JAVA : 객체지향에 충실한 자바다운 자바",황희정,"25,000원"
"IT CookBook, UI/UX 디자인 이론과 실습",이영주,"27,000원"
"IT CookBook, 정보보안 이론과 실제",마크 스탬프,"25,000원"
문제로 익히는 영문회계기초,윤승준,"18,000원"
"IT CookBook, 리눅스 프로그래밍 기초 : 시스템 호출, 라이브러리 함수별 실습","최태영 , 황준하 , 고재필 , 윤현주 , 김용호","20,000원"
앱 인벤터 2 : 구글과 MIT 앱 인벤터 개발팀이 안내하는 안드로이드 프로그래밍,"David Wolber , Hal Abelson , Ellen Spertus , Liz Looney","24,000원"
easy LTE : 초보 기술자를 위한 이동통신 가이드북,이상근,"23,000원"
"창의와 혁신의 시크릿, 트리즈 : Training How To Think Inventively",김은경,"23,000원"
"IT CookBook, 핵심 API로 배우는 윈도우 프로그래밍",강경우,"26,000원"
MATLAB으로 배우는 선형대수학 : Linear Algebra with MATLAB,"이광연 , 설한국","27,000원"
창의융합 프로젝트 아이디어북 : Creative Convergence Capstone Design with PBL,조준동,"24,000원"
"IT CookBook, XML 프로그래밍 : 체계적으로 배우는 XML 원리와 응용",홍성용,"27,000원"
전공이 보이는 미분적분학: FOR ELECTRICAL & ELECTRONIC ENGINEERS,장윤석,"22,000원"
"IT CookBook, Play 포토샵",원다예,"22,000원"
"IT CookBook, 엑셀과 파워포인트 2013 개정판",강동진 외 4,"22,000원"
한국경제의 이해,주성환,"25,000원"
"IT CookBook, C C++로 배우는 자료구조론",주우석,"23,000원"
"IT CookBook, 광통신 공학 : MATLAB과 함께하는 광통신 시스템",이종형,"28,000원"
글로벌경영론,박기안,"27,000원"
"IT CookBook, 디지털 영상처리 입문 : 오감을 자극하는 3차원 입체 학습","신종홍 , 장선봉 , 지인호","25,000원"
"IT CookBook, 엑셀 2013 : 기본 기능부터 실무 활용까지",하숙정,"20,000원"
"IT CookBook, 컴퓨터 활용과 실습 : 컴퓨터 기초, 한글 2014, 엑셀 2013, 파워포인트 2013",김주영,"22,000원"
"IT CookBook, 핵심이 보이는 신호 및 시스템 : 기본 이론부터 MATLAB 실습까지",이철희,"28,000원"
"IT CookBook, 실전에 강한 PLC : 기본 이론부터 실습까지",정완보,"20,000원"
"IT CookBook, 원리로 이해하는 통신이론 : Analog & Digital Communications",한동석,"24,000원"
"IT CookBook, 파워포인트 2013 : 기본 기능부터 프레젠테이션 스킬까지 한번에!","채종서 , 차유빈","20,000원"
"IT CookBook, Compact C 프로그래밍",김충석,"24,000원"
"IT CookBook, 한글 2014 for Beginner",양숙희,"10,000원"
"IT CookBook, 엑셀 2013 for Beginner",양숙희,"10,000원"
"IT CookBook, 워드 2013 for Beginner",최희식,"10,000원"
"IT CookBook, 파워포인트 2013 for Beginner",최희식,"10,000원"
이자론 중심으로 배우는 금융수학 : 보험계리사 시험 대비,이재원,"26,000원"
"IT CookBook, 쉽게 배우는 유전 알고리즘 : 진화적 접근법",문병로,"23,000원"
"IT CookBook, 컴퓨터 아키텍처 : 컴퓨터 구조 및 동작 원리",우종정,"26,000원"
"IT CookBook, 초보자의 첫 번째 한글 2010",양숙희,"10,000원"
"IT CookBook, C 언어로 배우는 8051 마이크로프로세서",임석구,"25,000원"
"IT CookBook, 회로이론 : Circuits","Fawwaz T. Ulaby , Michel M. Maharbiz","34,000원"
"Introduction To Algorithms, Third Edition","토머스 코멘 , 찰스 레이서손 , 로날드 리베스트 , 클리포드 스타인","47,000원"
공학 기초수학 : Basic Mathematics for Engineering,함남우,"18,000원"
"IT CookBook, 컴퓨터 비전",오일석,"35,000원"
설계 프로세스로 배우는 창의적 공학설계,노승환,"20,000원"
"IT CookBook, 빅데이터 컴퓨팅 기술","박두순 , 문양세 , 박영호 , 윤찬현 , 정영식 , 장형석","22,000원"
"IT CookBook, 단계별로 배우는 전자회로 실험 : 기본 소자부터 응용 회로까지",이강윤,"22,000원"
"IT CookBook, CMOS 디지털 집적회로 설계 : 기본 이론부터 실습까지",신경욱,"26,000원"
"IT CookBook, 인터넷 이해와 활용 : 인터넷 기초부터 홈페이지 제작까지(개정2판)","안치현 , 김형철","22,000원"
"IT CookBook, 엑셀 2010 실무와 활용",전미진,"19,000원"
"IT CookBook, 엑셀과 파워포인트 2010 실무와 활용","전미진 , 고경희","21,000원"
"IT CookBook, 파워포인트 2010 실무와 활용",고경희,"19,000원"
"IT CookBook, 초보자의 첫 번째 워드 2010",최희식,"10,000원"
"IT CookBook, New 인터넷 이해와 활용",김경신,"25,000원"
"IT CookBook, 실감나게 배우는 제어공학","한수희 , 이영삼 , 권보규 , 권오규 , 권욱현","28,000원"
"IT CookBook, 디지털 공학 : 논리회로의 설계 원리","김대정 , 모현선","28,000원"
대학수학 Plus : University Mathematics,이재원,"26,000원"
연구조사방법론 SPSS와 AMOS 활용(개정증보판),강병서,"24,000원"
혁신시대의 경쟁력 강화를 위한 경영전략,민경호,"23,000원"
갈등관리와 협상,신군재,"15,000원"
"IT CookBook, 단계별로 따라하며 배우는 디지털 공학 실험","이승호 , 민경옥","22,000원"
기초 확률과 통계 : BASIC PROBABILITY & STATISTICS,박대수,"18,000원"
"IT CookBook, 전자기학 : ELECTROMAGNETICS","Arlon T. Adams , Jay Kyoon Lee(이재균)","30,000원"
"IT CookBook, OpenGL로 배우는 3차원 컴퓨터 그래픽스",주우석,"38,000원"
"IT CookBook, 인공지능 개론",마이클 네그네빗스키,"25,000원"
"IT CookBook, 현대 반도체 소자 공학 : Modern Semiconductor Devices for Integrated Circuits",첸밍 후(Chenming Calvin Hu),"25,000원"
"IT CookBook, enjoy design 포토샵 CS6",이영주,"25,000원"
"IT CookBook, TCP/IP 윈도우 소켓 프로그래밍",김선우,"25,000원"
"IT CookBook, 초보자의 첫 번째 파워포인트 2010",최희식,"10,000원"
"IT CookBook, 전자회로 : 핵심 개념부터 응용까지","강문식 , 신경욱","32,000원"
"IT CookBook, 마이크로컨트롤러 AVR ATmega128 : 상태도를 이용한 시스템 설계",이상설,"29,000원"
"IT CookBook, 자바로 배우는 쉬운 자료구조",이지영,"24,800원"
"IT CookBook, 프로그래밍 언어론 : 쉽게 배우는 언어의 원리와 구조","김종훈 , 김종진","20,000원"
"IT CookBook, C++ 하이킹 : 객체지향과 만나는 여행","성윤정 , 김태은","25,000원"
"IT CookBook, 반도체 공학 연습문제 풀이집",김동명,"22,000원"
"IT CookBook, C 프로그래밍","강동진, 하숙정, 임수연, 송무희, 박보석","24,000원"
"IT CookBook, 컴퓨터 활용 : 윈도우 7, 한글 2010, 엑셀 2010, 파워포인트 2010","김주영 , 정영준","21,000원"
"IT CookBook, 초보자의 첫 번째 엑셀 2010",양숙희,"10,000원"
"IT CookBook, 개념이 보이는 물리전자공학",이현용,"24,000원"
문제해결력을 키우는 이공계 글쓰기 : 발표와 토론까지,한성우,"18,000원"
Essential Calculus,James Stewart,"36,000원"
의사결정회계,정재권,"28,000원"
"IT CookBook, 디지털 통신 시스템 : Digital Communication Systems","정호영 , 임승각","25,000원"
인간관계론,"유기현 , 송병선 , 권용만","25,000원"
