rank,category,channel,구독자수,view,video
329,패션/미용,Wishtrend TV,1860000,1억8220만,"1,079개"
331,키즈/어린이,자이언트 펭TV,1840000,4억8107만,573개
333,애완/반려동물,내셔널지오그래픽 - National Geographic Korea,1830000,8억6154만,"3,584개"
332,IT/기술/컴퓨터,밝은 면 Bright Side Korea,1830000,5억6973만,"4,901개"
335,미분류,사피엔스 스튜디오,1820000,5억6369만,"4,327개"
334,교육/강의,데이브 World of Dave,1820000,4억7093만,678개
342,미분류,엠뚜루마뚜루 : MBC 공식 종합 채널,1810000,31억0107만,"5,324개"
341,음악/댄스/가수,FNCEnt,1810000,4억2851만,"1,627개"
340,뉴스/정치/사회,진성호방송,1810000,35억4164만,"13,672개"
339,음식/요리/레시피,입짧은햇님,1810000,8억3389만,"2,978개"
338,패션/미용,효진조 Hyojin Cho,1810000,2억2778만,440개
337,음식/요리/레시피,ASMR Suna 꿀꿀선아,1810000,4억7255만,487개
336,키즈/어린이,꾹TV(Kkuk TV),1810000,11억8701만,"1,715개"
344,키즈/어린이,티디키즈 (인기 동요・동화),1780000,11억5422만,578개
343,음악/댄스/가수,OfficialLEEHI,1780000,5억2039만,106개
349,미분류,Christian Dior,1770000,6억1133만,"1,232개"
348,음식/요리/레시피,ETTV 이티티비,1760000,8억5761만,"1,473개"
347,음악/댄스/가수,DJ SODA OFFICIAL,1760000,2억4228만,165개
346,뉴스/정치/사회,세바시 강연 Sebasi Talk,1760000,4억2683만,"2,651개"
345,BJ/인물/연예인,보물섬,1760000,15억1163만,593개
351,취미/라이프,낄낄상회,1750000,8억2165만,682개
350,애완/반려동물,슈앤트리 SHU AND TREE,1750000,4억2415만,562개
353,교육/강의,스터디언,1740000,2억6319만,"3,554개"
352,키즈/어린이,깨비키즈 [KEBIKIDS],1740000,19억2297만,"2,147개"
354,TV/방송,조재원,1740000,6억3447만,444개
357,미분류,planD플랜디,1730000,2억3234만,190개
356,게임,악동 김블루,1730000,13억1963만,"1,291개"
355,TV/방송,콬TV,1730000,6억9046만,"1,213개"
361,키즈/어린이,츈례쌤 CRS,1720000,6만,10개
360,TV/방송,INTHESOOP_TV,1720000,5038만,76개
359,TV/방송,14F 일사에프,1720000,7억5474만,"3,684개"
358,TV/방송,한문철 TV,1720000,23억2266만,"21,176개"
366,TV/방송,KBS HUMAN: 뭉클티비,1710000,10억0628만,"6,474개"
365,음악/댄스/가수,TAEYANG,1710000,2억4921만,61개
364,음악/댄스/가수,PENTAGON 펜타곤 (Official YouTube Channel),1710000,3억3756만,732개
363,국내/해외/여행,빠니보틀 Pani Bottle,1710000,3억7968만,289개
362,음악/댄스/가수,Daily Busking,1710000,7억1810만,"1,021개"
372,음악/댄스/가수,시즌비시즌 Season B Season,1700000,2억9941만,134개
371,주식/경제/부동산,신사임당,1700000,3억2091만,"1,564개"
370,뉴스/정치/사회,MBN News,1700000,18억8522만,"145,862개"
369,음악/댄스/가수,워너뮤직코리아 (Warner Music Korea),1700000,11억3780만,"3,789개"
368,키즈/어린이,지니키즈 Genikids (인기 동요・동화),1700000,14억1107만,"1,238개"
367,음식/요리/레시피,HONG SOUND,1700000,5억3286만,"1,316개"
375,뉴스/정치/사회,KBS Drama Classic,1690000,16억9633만,"19,490개"
374,게임,T1 Faker,1690000,3억6470만,"1,334개"
373,게임,우주하마,1690000,11억7956만,"2,311개"
380,키즈/어린이,Super JoJo-인기동요,1680000,8억0127만,548개
379,미분류,김작가 TV,1680000,4억4802만,"2,825개"
378,뉴스/정치/사회,SBS STORY,1680000,21억3129만,"84,134개"
377,BJ/인물/연예인,더블비,1680000,12억2391만,600개
376,게임,양띵 유튜브,1680000,20억9613만,"9,234개"
381,미분류,땅콩 Peanut,1670000,8억6425만,62개
383,음악/댄스/가수,Dreamcatcher official,1660000,5억9881만,622개
382,TV/방송,MKTV 김미경TV,1660000,3억5789만,"2,042개"
384,음악/댄스/가수,DOJIN도진이,1650000,9889만,66개
386,패션/미용,이수현 Official,1640000,1억3254만,132개
385,BJ/인물/연예인,웃소 Wootso,1640000,20억2903만,964개
387,애완/반려동물,강형욱의 보듬TV,1630000,4억1450만,800개
390,뉴스/정치/사회,KBS 다큐,1620000,10억6348만,"40,284개"
389,뉴스/정치/사회,뉴스TVCHOSUN,1620000,15억6088만,"86,497개"
388,음악/댄스/가수,버블디아,1620000,4억7229만,"1,339개"
391,음악/댄스/가수,NU'EST,1610000,2억7516만,687개
393,미분류,너덜트,1600000,2억2323만,47개
392,교육/강의,Talk To Me In Korean,1600000,7570만,"1,696개"
397,TV/방송,Beginagain 비긴어게인,1590000,8억4360만,"1,724개"
396,IT/기술/컴퓨터,약사가 들려주는 약 이야기,1590000,2억4206만,549개
395,영화/만화/애니,김시선,1590000,6억5311만,569개
394,게임,김재원의 즐거운 세상,1590000,21억2403만,"2,756개"
400,미분류,STAYC,1580000,7억9642만,477개
399,교육/강의,조승연의 탐구생활,1580000,1억4642만,335개
